"","AfD","DIE GRUENEN","DIE LINKE","FDP","SPD","CDU/CSU"
"mz-web",39,14,10,9,14,15
"wiwo",33,51,33,87,14,29
"bz-berlin",144,30,15,31,13,55
"johannes-schraps",0,0,0,0,13,0
"lvz",53,41,42,8,13,14
"nzz",144,31,24,71,13,36
"sebastian-hartmann",0,0,0,0,13,0
"dw",7,33,17,9,12,13
"wz",4,18,3,18,12,27
"dgb",2,2,14,1,11,0
"mittelbayerische",4,3,4,2,11,1
"stimme",6,9,0,6,11,2
"waz",10,23,9,10,11,6
"augsburger-allgemeine",19,50,14,22,10,14
"heise",39,63,94,59,10,15
"pnp",12,20,18,12,10,11
"saarbruecker-zeitung",15,22,4,27,10,8
"wp",3,2,1,3,10,0
"badische-zeitung",10,20,5,7,9,20
"der-postillon",15,29,37,12,9,7
"dnn",20,15,11,6,9,5
"maz-online",12,17,36,3,9,46
"presseportal",13,15,15,6,9,13
"rbb24",27,23,70,31,9,21
"rheinpfalz",6,3,2,3,9,9
"thueringer-allgemeine",34,9,16,29,9,30
"weser-kurier",21,21,58,13,9,4
"ksta",12,21,4,4,7,13
"migazin",1,16,15,0,7,0
"mopo",15,2,18,0,7,10
"westfalen-blatt",4,4,5,5,7,0
"bento",4,20,23,9,6,3
"bundesfinanzministerium",0,1,0,4,6,2
"derwesten",44,6,16,2,6,2
"echo-online",0,4,1,0,6,2
"general-anzeiger-bonn",6,26,3,5,6,5
"golem",8,33,3,9,6,2
"m",11,23,10,13,6,2
"moz",12,13,28,10,6,117
"netzpolitik",7,51,50,8,6,2
"neues-deutschland",7,22,425,3,6,0
"nordkurier",72,2,10,6,6,7
"politik-kommunikation",0,1,2,6,6,1
"reuters",6,22,10,8,6,8
"svz",12,3,6,7,6,5
"abendzeitung-muenchen",5,8,24,4,5,2
"cicero",71,2,3,23,5,4
"facebook",123,6,58,9,5,17
"freitag",3,17,55,0,5,1
"morgenweb",4,12,27,9,5,29
"neuepresse",18,11,2,1,5,0
"nordbayern",16,6,10,20,5,0
"nwzonline",8,13,5,10,5,4
"pnn",9,10,24,3,5,8
"volksstimme",36,1,3,13,5,2
"ww-kurier",0,0,0,0,5,17
"berliner-woche",1,2,33,0,4,8
"butenunbinnen",3,3,27,0,4,0
"daserste",2,7,11,5,4,7
"deutschlandfunkkultur",6,34,23,3,4,4
"ln-online",7,12,3,0,4,1
"rtl",10,3,3,8,4,5
"shz",7,9,4,4,4,4
"suedkurier",7,4,2,1,4,8
"tichyseinblick",341,0,0,49,4,10
"verdi",0,7,10,0,4,0
"wikipedia",8,7,9,3,4,2
"abgeordnetenwatch",1,2,7,2,3,0
"aerzteblatt",5,8,5,4,3,2
"bpb",2,2,5,2,3,0
"businessinsider",9,5,5,6,3,5
"energate-messenger",0,3,2,6,3,3
"epochtimes",89,1,0,2,3,0
"kicker",0,3,1,4,3,3
"kreiszeitung-wochenblatt",0,0,0,0,3,9
"mainpost",3,20,6,12,3,7
"nrz",3,4,3,0,3,0
"phoenix",2,6,8,2,3,2
"spektrum",0,11,3,5,3,1
"topagrar",4,13,17,36,3,3
"volksfreund",3,3,9,2,3,22
"wordpress",4,9,8,2,3,0
"xing",3,4,1,6,3,2
"aachener-nachrichten",0,3,7,2,2,1
"blu",0,6,1,3,2,0
"derstandard",1,13,8,1,2,1
"destatis",0,3,1,0,2,5
"die-tagespost",7,2,0,2,2,6
"dwdl",2,3,4,2,2,1
"hasepost",2,4,1,6,2,2
"hz",2,4,2,1,2,3
"juedische-allgemeine",3,9,6,2,2,2
"katholisch",8,5,1,3,2,13
"klimareporter",0,15,5,2,2,0
"lto",5,27,13,7,2,7
"manager-magazin",11,9,10,8,2,1
"ostsee-zeitung",5,4,5,8,2,1
"otz",11,0,3,5,2,3
"reporter-ohne-grenzen",1,6,2,0,2,0
"rhein-zeitung",3,6,1,7,2,32
"rnd",1,5,3,3,2,1
"sr",0,10,0,8,2,3
"wallstreet-online",4,10,5,5,2,3
"watson",2,6,10,1,2,0
"aerztezeitung",0,20,8,13,1,17
"allgemeine-zeitung",5,30,0,1,1,11
"ard",0,4,4,2,1,1
"ard-hauptstadtstudio",1,7,1,0,1,2
"berlin",1,5,3,1,1,1
"blick-aktuell",1,8,0,1,1,44
"bmvg",0,0,1,0,1,25
"boeckler",0,3,11,0,1,0
"boell",0,23,2,0,1,0
"bundesregierung",2,8,0,0,1,12
"cducsu",2,4,1,2,1,762
"change",1,7,9,3,1,0
"deutsche-apotheker-zeitung",1,5,9,5,1,3
"ejz",2,6,3,4,1,1
"euractiv",1,10,8,1,1,2
"express",12,6,1,2,1,4
"fdpbt",0,0,0,138,1,0
"finanzen",5,2,0,1,1,2
"fnp",15,6,4,3,1,4
"idea",5,0,0,2,1,5
"infranken",16,9,2,7,1,2
"jetzt",2,5,3,1,1,1
"openpetition",7,7,19,0,1,14
"queer",0,44,14,0,1,1
"saechsische",43,19,11,7,1,1
"schwarzwaelder-bote",1,0,0,5,1,9
"sputniknews",36,1,41,0,1,0
"tag24",94,0,17,3,1,0
"vice",3,8,17,3,1,5
"volksverpetzer",2,1,5,0,1,3
"wn",2,7,8,10,1,4
"wochenblatt",9,2,1,3,1,1
"wochenendspiegel",1,2,0,1,1,7
"abgeordnete",0,0,0,25,0,0
"achgut",92,0,1,1,0,0
"afd",26,0,0,0,0,0
"afd-rems-murr",12,0,0,0,0,0
"afdbundestag",209,0,0,0,0,0
"afdkompakt",23,0,0,0,0,0
"agnieszka-brugger",0,12,0,0,0,0
"agrarheute",1,4,15,5,0,0
"ak-kurier",0,1,0,5,0,25
"amnesty",0,8,4,0,0,0
"andreas-steier",0,0,0,0,0,38
"andrej-hunko",0,0,97,0,0,0
"bazonline",30,0,1,0,0,0
"bettina-hoffmann",0,36,0,0,0,0
"blick",10,0,1,1,0,1
"bmbf",0,0,1,2,0,8
"brandner-im-bundestag",19,0,0,0,0,0
"brigitte-freihold",0,0,76,0,0,0
"bundesgesundheitsministerium",0,3,0,0,0,8
"campact",0,16,25,0,0,0
"capital",0,3,2,4,0,2
"compact-online",22,0,0,0,0,0
"cornelia-moehring",0,0,14,0,0,0
"das-parlament",1,2,4,3,0,1
"deutsche-handwerks-zeitung",24,0,0,2,0,0
"deutschland-kurier",56,0,0,0,0,0
"deutschlandfunknova",2,6,4,1,0,1
"die-linke",0,0,36,0,0,0
"diepresse",10,8,7,1,0,0
"dieterjanecek",0,26,0,0,0,0
"diether-dehm",0,0,49,0,0,0
"erwin-rueddel",0,0,0,0,0,28
"eva-maria-schreiber",0,0,28,0,0,0
"fabio-de-masi",0,0,55,0,0,0
"fdp",1,0,0,50,0,0
"fdp-lsa",0,0,0,14,0,0
"filiz-polat",0,78,0,0,0,0
"finanznachrichten",2,10,2,6,0,4
"freiewelt",28,1,0,0,0,0
"freiheit",0,0,1,12,0,0
"friedrich-straetmanns",0,0,18,0,0,0
"friesen-im-bundestag",15,0,0,0,0,0
"geo",6,1,1,1,0,2
"gero-storjohann",0,0,0,0,0,43
"gruen-digital",0,62,0,0,0,0
"gruenderszene",0,8,1,8,0,4
"gruene",0,29,0,0,0,0
"gruene-bundestag",1,315,0,0,0,0
"heike-haensel",0,0,13,0,0,0
"hubertus-zdebel",0,0,202,0,0,0
"ingo-wellenreuther",0,0,0,0,0,11
"insuedthueringen",3,1,2,5,0,3
"jmwiarda",0,5,0,9,0,0
"juergenhardt",0,0,0,0,0,15
"jungefreiheit",926,0,0,0,0,0
"jungewelt",0,0,24,0,0,0
"katja-kipping",0,0,45,0,0,0
"klein-schmeink",0,73,0,0,0,0
"krone",26,1,1,0,0,0
"landauer-tafel",0,0,0,0,0,20
"liberale",0,0,0,85,0,0
"linkedin",0,0,2,33,0,2
"linksfraktion",0,0,300,0,0,0
"lobbycontrol",0,4,9,0,0,0
"lorenz-goesta-beutin",0,0,25,0,0,0
"marco-buelow",0,0,0,0,0,0
"marian-wendt",0,0,0,0,0,15
"matthias-gastel",0,39,0,0,0,0
"mueller-gemmeke",0,22,0,0,0,0
"nachdenkseiten",1,0,13,0,0,0
"news-republic",15,0,0,0,0,0
"newsrepublic",17,0,0,0,0,0
"nr-kurier",1,0,0,0,0,41
"pboehringer",40,0,0,0,0,0
"petertauber",0,1,0,0,0,22
"petra-sitte",0,0,29,0,0,0
"petrapau",0,0,45,0,0,0
"pi-news",38,0,0,0,0,0
"piqd",0,8,0,3,0,0
"proasyl",0,5,9,0,0,0
"publicomag",22,0,0,0,0,0
"rosalux",0,0,14,0,0,0
"rosenheim24",2,2,0,4,0,3
"rt",16,0,12,0,0,0
"rundschau-online",3,4,0,2,0,2
"sahra-wagenknecht",0,0,11,0,0,0
"sebastian-muenzenmaier",16,0,0,0,0,0
"sebastian-steineke",0,0,0,0,0,41
"statista",1,0,1,14,0,0
"stephankuehn",0,11,0,0,0,0
"strengmann-kuhn",0,26,0,0,0,0
"tagesstimme",10,1,0,0,0,0
"theeuropean",10,0,5,5,0,2
"tino-sorge",0,0,0,0,0,11
"tlz",8,0,0,5,0,15
"tobias-pflueger",0,0,21,0,0,0
"trittin",0,39,0,0,0,3
"tz",11,1,7,1,0,1
"ulla-jelpke",0,0,366,0,0,0
"ulli-nissen",25,0,0,0,0,0
"uwe-kekeritz",0,16,0,0,0,0
"wilfried-oellers",0,0,0,0,0,44
"wochenblick",26,0,0,0,0,0
"wr",4,5,0,3,0,0
